audio_id	source_filename	source_relative_path	youtube_video_id	file_size_mb	duration_seconds	sample_rate_hz	channels	imported_at
audio-0331	0331 - Délicieuse Musique - Futuro Pelo - Adventures [lfUnMvg9e0g].webm	0331 - Délicieuse Musique - Futuro Pelo - Adventures [lfUnMvg9e0g].webm	lfUnMvg9e0g	3.627504348754883	236.01066666666668	48000	2	2026-09-09 04:10:03
audio-0332	0332 - cruzn001 - Federico Aubele - Somewhere Else (featuring Melody Gardot) [2jYFnNMXiPs].webm	0332 - cruzn001 - Federico Aubele - Somewhere Else (featuring Melody Gardot) [2jYFnNMXiPs].webm	2jYFnNMXiPs	3.0516271591186523	196.03447916666667	48000	2	2026-09-09 04:10:03
audio-0333	0333 - Howe Gelb - A Thousand Kisses Deep [NYZvw2N4Svg].webm	0333 - Howe Gelb - A Thousand Kisses Deep [NYZvw2N4Svg].webm	NYZvw2N4Svg	5.251935005187988	339.53333333333336	48000	2	2026-09-09 04:10:03
audio-0334	0334 - Enchanté Records - Gods of Venus ＂Wings of Life＂ - Official Video [9bY8uq5RR8I].webm	0334 - Enchanté Records - Gods of Venus ＂Wings of Life＂ - Official Video [9bY8uq5RR8I].webm	9bY8uq5RR8I	3.4524898529052734	216.61895833333332	48000	2	2026-09-09 04:10:03
audio-0336	0336 - Szymon Kesy - Dikanda - Dikanda [mIFQESCIbRc].webm	0336 - Szymon Kesy - Dikanda - Dikanda [mIFQESCIbRc].webm	mIFQESCIbRc	4.717216491699219	287.9855	48000	2	2026-09-09 04:10:04
audio-0337	0337 - Anouar Brahem - Astrakan Café (2) [Zx3BcSQJfD4].webm	0337 - Anouar Brahem - Astrakan Café (2) [Zx3BcSQJfD4].webm	Zx3BcSQJfD4	5.244649887084961	289.4266666666667	48000	2	2026-09-09 04:10:04
audio-0338	0338 - Moriarty - Enjoy the Silence [YVCuvgJZRxc].webm	0338 - Moriarty - Enjoy the Silence [YVCuvgJZRxc].webm	YVCuvgJZRxc	2.0938072204589844	123.05333333333331	48000	2	2026-09-09 04:10:04
audio-0339	0339 - Freedonia - FREEDONIA ＂HEAVEN BELLS＂ [ztkohcplLjA].webm	0339 - Freedonia - FREEDONIA ＂HEAVEN BELLS＂ [ztkohcplLjA].webm	ztkohcplLjA	6.1693220138549805	391.936	48000	2	2026-09-09 04:10:04
audio-0340	0340 - Nessi Gomes - Nessi Gomes - All Related (Lyric Video) [le9M6i9oHBU].webm	0340 - Nessi Gomes - Nessi Gomes - All Related (Lyric Video) [le9M6i9oHBU].webm	le9M6i9oHBU	5.897760391235352	369.1306666666667	48000	2	2026-09-09 04:10:04
audio-0341	0341 - wafaa17kab - No Blues - Farewell Shalabiye [X6hL1iiVYbs].webm	0341 - wafaa17kab - No Blues - Farewell Shalabiye [X6hL1iiVYbs].webm	X6hL1iiVYbs	3.254697799682617	205.87972916666664	48000	2	2026-09-09 04:10:04
audio-0342	0342 - ImagineDragons - Imagine Dragons - Believer (Official Music Video) [7wtfhZwyrcc].webm	0342 - ImagineDragons - Imagine Dragons - Believer (Official Music Video) [7wtfhZwyrcc].webm	7wtfhZwyrcc	3.364591598510742	216.5376875	48000	2	2026-09-09 04:10:05
audio-0343	0343 - JustinMitchell - Radical Face 'Welcome Home, Son' [P8a4iiOnzsc].webm	0343 - JustinMitchell - Radical Face 'Welcome Home, Son' [P8a4iiOnzsc].webm	P8a4iiOnzsc	4.601801872253418	277.2811041666667	48000	2	2026-09-09 04:10:05
audio-0344	0344 - Jon Lord - Bourée (2019 Remaster) [3Tb3hCEvIOo].webm	0344 - Jon Lord - Bourée (2019 Remaster) [3Tb3hCEvIOo].webm	3Tb3hCEvIOo	10.888075828552246	667.6933333333334	48000	2	2026-09-09 04:10:05
audio-0345	0345 - Madou - Niets is Voor Altijd (Madou Original Version Remastered) [5JM2k_0G_IM].webm	0345 - Madou - Niets is Voor Altijd (Madou Original Version Remastered) [5JM2k_0G_IM].webm	5JM2k_0G_IM	4.006350517272949	250.2	48000	2	2026-09-09 04:10:05
audio-0346	0346 - Lor - Lor - Nikt (Official Video) [DBMli5_9Hcc].webm	0346 - Lor - Lor - Nikt (Official Video) [DBMli5_9Hcc].webm	DBMli5_9Hcc	3.3121414184570312	205.5314375	48000	2	2026-09-09 04:10:05
audio-0347	0347 - Tom Rosenthal - Tom Rosenthal - Miffed (Official Music Video) [xlE3-liDdto].webm	0347 - Tom Rosenthal - Tom Rosenthal - Miffed (Official Music Video) [xlE3-liDdto].webm	xlE3-liDdto	3.0802106857299805	192.6908125	48000	2	2026-09-09 04:10:06
audio-0348	0348 - Otava Yo - Отава Ё - Про Ивана Groove (русское готическое R'N'B) - Otava Yo [YbBU06irWT8].webm	0348 - Otava Yo - Отава Ё - Про Ивана Groove (русское готическое R'N'B) - Otava Yo [YbBU06irWT8].webm	YbBU06irWT8	4.132393836975098	295.0095416666667	48000	2	2026-09-09 04:10:06
audio-0349	0349 - Tom Rosenthal - Tom Rosenthal - As Luck Would Have It (Official Music Video) [GXF4a27ouqc].webm	0349 - Tom Rosenthal - Tom Rosenthal - As Luck Would Have It (Official Music Video) [GXF4a27ouqc].webm	GXF4a27ouqc	2.6658687591552734	140.00472916666666	48000	2	2026-09-09 04:10:06
audio-0350	0350 - The Dotty - Tom Rosenthal - How This Came To Be [gwvw1LxKcFg].webm	0350 - The Dotty - Tom Rosenthal - How This Came To Be [gwvw1LxKcFg].webm	gwvw1LxKcFg	2.659317970275879	180.372625	48000	2	2026-09-09 04:10:06
audio-0351	0351 - Bukahara - Bukahara - Storytelling Animal [HzbRR-y-0jU].webm	0351 - Bukahara - Bukahara - Storytelling Animal [HzbRR-y-0jU].webm	HzbRR-y-0jU	3.4114179611206055	215.36508333333333	48000	2	2026-09-09 04:10:06
audio-0352	0352 - senmusic - Kasper Bjørke： Young Again (feat. Jacob Bellens) (Official music video) [0V-6YCc-V5U].webm	0352 - senmusic - Kasper Bjørke： Young Again (feat. Jacob Bellens) (Official music video) [0V-6YCc-V5U].webm	0V-6YCc-V5U	4.039430618286133	241.92	48000	2	2026-09-09 04:10:06
audio-0353	0353 - Bukahara - Bukahara - We Are Still Here (LIVE at Palladium 2022) [e8B49vEQkM4].webm	0353 - Bukahara - Bukahara - We Are Still Here (LIVE at Palladium 2022) [e8B49vEQkM4].webm	e8B49vEQkM4	5.33437442779541	332.49814583333335	48000	2	2026-09-09 04:10:07
audio-0354	0354 - lùisa - lùisa - New Woman (Official Music Video) [DkwuMuCgnWM].webm	0354 - lùisa - lùisa - New Woman (Official Music Video) [DkwuMuCgnWM].webm	DkwuMuCgnWM	3.271446228027344	208.21333333333337	48000	2	2026-09-09 04:10:07
audio-0355	0355 - The Gardener & The Tree - Wild Horses [QLDP4t8ZTUU].webm	0355 - The Gardener & The Tree - Wild Horses [QLDP4t8ZTUU].webm	QLDP4t8ZTUU	3.465047836303711	213.45333333333335	48000	2	2026-09-09 04:10:07
audio-0356	0356 - Tom Rosenthal - Tom Rosenthal - Albert Camus (Lyric Video) [DfshTQKV1zU].webm	0356 - Tom Rosenthal - Tom Rosenthal - Albert Camus (Lyric Video) [DfshTQKV1zU].webm	DfshTQKV1zU	3.2596912384033203	205.33333333333337	48000	2	2026-09-09 04:10:07
audio-0357	0357 - ANIMOR - Wild Dog - Animor [O8xKF3MZ-BE].webm	0357 - ANIMOR - Wild Dog - Animor [O8xKF3MZ-BE].webm	O8xKF3MZ-BE	2.734379768371582	177.664	48000	2	2026-09-09 04:10:08
audio-0358	0358 - Bryan Ferry - Bryan Ferry & Todd Terje - Johnny & Mary [Official Video] [Din_eWjJWe0].webm	0358 - Bryan Ferry - Bryan Ferry & Todd Terje - Johnny & Mary [Official Video] [Din_eWjJWe0].webm	Din_eWjJWe0	4.842085838317871	320.2031875	48000	2	2026-09-09 04:10:08
